"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"Pim",05/21/2016,2,"",124,"Nimble Foot","F","N","f",2012,3,"Ire","Lynch Bages Ltd & Camas Park Stud","Ch.","Danehill Dancer*Ire","Danehill","Nasanice*Ire","Nashwan","Colts Neck Stables LLC","",0,0.000,04/09/2016,"","L","",0.00,0,"Toledo J","Goldberg Alan E",2,4.400,1,0,0,1,22.957,7,0,0,2,28.816,9,0,0,4,0.000,0,0,0,0,28.816,9,0,0,4,0.000,0,0,0,0,0.000,0,0,0,0,5.070,2,0,0,0,"",20,0.000,4,4,0,0.20,0.40,338,0.000,45,55,39,0.13,0.41,1,0.000,0,0,0,0.00,0.00,44,0.000,11,3,6,0.25,0.45,0,0.000,0,0,0,"",,0,09/19/2015,33.525,"N","2015-16",2,0.00,0.00,23,0.35,2.70
"Pim",05/21/2016,2,"",119,"Cherub","D","N","f",2013,2,"Ky","Woodford Thoroughbreds","B.","Giant's Causeway","Storm Cat","Bless","Mr. Prospector","David DiPietro","KEESEP",14,110.000,04/23/2016,"","L","",0.00,0,"Saez L","Sharp Joe",3,14.510,3,0,1,1,2.220,1,0,0,0,16.730,4,0,1,1,0.000,0,0,0,0,13.400,2,0,1,1,3.330,2,0,0,0,0.000,0,0,0,0,6.000,1,0,0,1,"",0,0.000,0,0,0,0.00,0.00,592,0.000,89,87,81,0.15,0.43,1,0.000,0,0,0,0.00,0.00,290,0.000,42,50,42,0.14,0.46,0,0.000,0,0,0,"",,0,12/27/2015,85.000,"N","2015-16",0,0.00,0.00,39,0.15,2.38
"Pim",05/21/2016,2,"",119,"Lady Arielle's Key","D","N","f",2013,3,"NY","Michael Bronzino","Ch.","Indygo Shiner","A.P. Indy","Forest Key","Green Forest","Mike Anderson Racing LLC","OBSAUG",14,50.000,04/09/2016,"","l","",0.00,0,"Rodriguez G","Morris Neil R",4,0.000,1,0,0,0,0.000,0,0,0,0,0.000,1,0,0,0,0.000,0,0,0,0,0.000,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",9,0.000,0,0,2,0.00,0.22,173,0.000,16,14,31,0.09,0.35,4,0.000,0,0,1,0.00,0.25,34,0.000,4,2,6,0.12,0.35,0,0.000,0,0,0,"",,0,,8.500,"N","2015-16",3,0.00,0.00,7,0.14,0.74
"Pim",05/21/2016,2,"",119,"Tapit Together","D","N","f",2013,4,"Ky","Augustin Stable","B.","Tapit","Pulpit","Forever Together","Belong to Me","Augustin Stable","",0,0.000,01/24/2016,"","L","",0.00,0,"Leparoux J R","Matz Michael R",5,5.600,2,0,0,1,2.250,1,0,0,0,7.850,3,0,0,1,0.000,0,0,0,0,7.850,3,0,0,1,0.000,0,0,0,0,0.000,0,0,0,0,3.850,2,0,0,0,"",0,0.000,0,0,0,0.00,0.00,365,0.000,69,39,47,0.19,0.42,3,0.000,1,1,0,0.33,0.67,88,0.000,8,11,7,0.09,0.30,0,0.000,0,0,0,"",,0,10/23/2015,300.000,"N","2015-16",0,0.00,0.00,22,0.09,1.27
"Pim",05/21/2016,2,"",119,"Thissongisaboutyou","D","N","f",2013,4,"Md","R. Larry Johnson","B.","Street Magician","Street Cry*Ire","So Vain","Mr. Greeley","R. Larry Johnson","",0,0.000,04/29/2016,"","L","",0.00,0,"Pimentel J","Trombetta Michael J",6,27.560,3,0,2,1,0.000,0,0,0,0,27.560,3,0,2,1,0.000,0,0,0,0,0.000,0,0,0,0,27.560,3,0,2,1,0.000,0,0,0,0,0.000,0,0,0,0,"",9,0.000,2,2,2,0.22,0.67,109,0.000,19,18,17,0.17,0.50,11,0.000,0,1,2,0.00,0.27,212,0.000,33,40,31,0.16,0.49,0,0.000,0,0,0,"",,0,,3.000,"N","2015-16",46,1.04,0.11,219,0.15,1.39
"Pim",05/21/2016,2,"",124,"Weatherurnot","D","N","f",2012,4,"Md","Dr. & Mrs. Thomas Bowman & Dr. Brooke Bowman","Dk. b or br","Dance With Ravens","A.P. Indy","Merriweather","Opening Verse","Estate of Gretchen B. Mobberley","EASSEP",13,25.000,04/17/2016,"","L","",0.00,0,"Serpa A","Salzman John E Jr",7,9.320,3,0,0,1,5.600,5,0,0,0,14.920,8,0,0,1,0.000,0,0,0,0,1.200,2,0,0,0,13.720,6,0,0,1,0.000,0,0,0,0,1.200,1,0,0,0,"",11,0.000,0,3,1,0.00,0.36,159,0.000,8,14,25,0.05,0.30,1,0.000,0,0,0,0.00,0.00,22,0.000,3,6,3,0.14,0.55,0,0.000,0,0,0,"",,0,12/06/2015,0.000,"N","2015-16",0,0.00,0.00,2,0.00,0.00
"Pim",05/21/2016,2,"",119,"Queen Caroline","D","N","f",2013,4,"Va","Morgan's Ford Farm","Dk. b or br","Blame","Arch","Queens Plaza","Forestry","Amy Moore","KEESEP",14,170.000,04/21/2016,"","L","",0.00,0,"Velazquez J R","Matz Michael R",8,17.560,2,0,2,0,1.832,2,0,0,0,19.392,4,0,2,0,1.500,1,0,0,0,17.560,2,0,2,0,1.832,2,0,0,0,0.000,0,0,0,0,9.960,1,0,1,0,"",0,0.000,0,0,0,0.00,0.00,333,0.000,69,44,43,0.21,0.47,3,0.000,1,1,0,0.33,0.67,88,0.000,8,11,7,0.09,0.30,0,0.000,0,0,0,"",,0,10/29/2015,25.000,"N","2015-16",0,0.00,0.00,22,0.09,0.68
"Pim",05/21/2016,2,"",119,"Vizi Girl","D","N","f",2013,5,"Ky","Hare Forest Farm, Ltd.","Dk. b or br","Kitten's Joy","El Prado*Ire","Express Chick","Hennessy","Hare Forest Farm","",0,0.000,04/17/2016,"","L","",0.00,0,"Carrasco V R","Rubley Kelly",9,0.000,1,0,0,0,0.000,1,0,0,0,0.000,2,0,0,0,0.000,0,0,0,0,0.000,2,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,2,0,0,0,"",27,0.000,2,6,3,0.07,0.41,409,0.000,71,57,51,0.17,0.44,0,0.000,0,0,0,0.00,0.00,30,0.000,1,5,5,0.03,0.37,0,0.000,0,0,0,"",,0,11/22/2015,100.000,"N","2015-16",0,0.00,0.00,3,0.00,0.00
"Pim",05/21/2016,2,"",119,"Anissa","D","N","f",2013,3,"Pa","Golden Oak Farm LLC","Dk. b or br","Gio Ponti","Tale of the Cat","Jet Away Jane","Unbridled Jet","Jerry Romans, Charlie Spiring & Zoom and","EASSEP",14,40.000,04/24/2016,"","L","",0.00,0,"Prado E S","Smith Hamilton A",10,2.400,1,0,0,0,18.000,3,0,2,0,20.400,4,0,2,0,0.000,0,0,0,0,16.800,2,0,2,0,3.600,2,0,0,0,0.000,0,0,0,0,8.400,1,0,1,0,"",15,0.000,4,2,4,0.27,0.67,148,0.000,18,23,18,0.12,0.40,11,0.000,4,0,0,0.36,0.36,82,0.000,14,5,11,0.17,0.37,0,0.000,0,0,0,"",,0,11/22/2015,12.500,"N","2015-16",2,1.70,0.50,2,0.50,1.70
"Pim",05/21/2016,2,"",124,"Reggae Song","D","N","f",2012,1,"Ky","Pollock Farms and Hugh Owen","Gr/ro","Speightstown","Gone West","Queen of Song","Unbridled's Song","Crossed Sabres Farm","KEESEP",13,70.000,03/30/2016,"","L","",0.00,0,"Juarez N","Vitali Marcus J",11,15.920,3,0,2,0,0.000,0,0,0,0,15.920,3,0,2,0,0.000,0,0,0,0,15.920,3,0,2,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",8,0.000,1,1,1,0.13,0.38,326,0.000,46,55,44,0.14,0.44,13,0.000,3,1,2,0.23,0.46,141,0.000,26,19,19,0.18,0.45,0,0.000,0,0,0,"",,0,,100.000,"N","2015-16",6,0.67,0.17,95,0.21,2.07
